filename,caracter,SSE
license01,S,13.000000
license01,9,17.000000
license01,G,15.000000
license01,2,14.000000
license01,G,15.000000
license01,2,14.000000
license01,B,20.000000
S9G2G2B

license02,9,17.000000
license02,9,17.000000
license02,U,15.000000
license02,2,14.000000
license02,U,15.000000
license02,B,20.000000
license02,L,11.000000
99U2UBL

license03,1,8.000000
license03,9,17.000000
license03,G,15.000000
license03,2,14.000000
license03,G,15.000000
license03,E,18.000000
license03,L,11.000000
19G2GEL

license04,B,20.000000
license04,9,17.000000
license04,U,15.000000
license04,2,14.000000
license04,U,15.000000
license04,T,11.000000
license04,J,12.000000
B9U2UTJ

license05,B,20.000000
license05,9,17.000000
license05,U,15.000000
license05,2,14.000000
license05,U,15.000000
license05,B,20.000000
license05,B,20.000000
B9U2UBB

license06,J,12.000000
license06,B,20.000000
license06,9,17.000000
license06,G,15.000000
license06,2,14.000000
license06,U,15.000000
license06,A,16.000000
license06,1,8.000000
JB9G2UA1

license07,Y,10.000000
license07,9,17.000000
license07,U,15.000000
license07,2,14.000000
license07,3,15.000000
Y9U23

license08,U,15.000000
license08,9,17.000000
license08,8,17.000000
license08,2,14.000000
license08,U,15.000000
license08,9,17.000000
license08,A,16.000000
U982U9A

license09,J,12.000000
license09,9,17.000000
license09,G,15.000000
license09,2,14.000000
license09,U,15.000000
license09,2,14.000000
license09,2,14.000000
J9G2U22

license10,U,15.000000
license10,9,17.000000
license10,U,15.000000
license10,2,14.000000
license10,X,13.000000
license10,2,14.000000
license10,F,14.000000
U9U2X2F

license11,Y,10.000000
license11,9,17.000000
license11,U,15.000000
license11,2,14.000000
license11,U,15.000000
license11,E,18.000000
license11,2,14.000000
Y9U2UE2

license12,Y,10.000000
license12,9,17.000000
license12,3,15.000000
license12,2,14.000000
license12,8,17.000000
license12,E,18.000000
license12,L,11.000000
Y9328EL

license13,Y,10.000000
license13,9,17.000000
license13,G,15.000000
license13,2,14.000000
license13,U,15.000000
license13,E,18.000000
license13,Y,10.000000
Y9G2UEY

license14,B,20.000000
license14,9,17.000000
license14,G,15.000000
license14,2,14.000000
license14,U,15.000000
license14,E,18.000000
license14,B,20.000000
B9G2UEB

license15,G,15.000000
license15,J,12.000000
license15,9,17.000000
license15,U,15.000000
license15,2,14.000000
license15,U,15.000000
license15,6,17.000000
license15,J,12.000000
GJ9U2U6J

license16,J,12.000000
license16,2,14.000000
license16,G,15.000000
license16,2,14.000000
license16,U,15.000000
license16,R,18.000000
license16,7,12.000000
J2G2UR7

license17,J,12.000000
license17,9,17.000000
license17,U,15.000000
license17,2,14.000000
license17,U,15.000000
license17,J,12.000000
license17,2,14.000000
J9U2UJ2

license18,U,15.000000
license18,9,17.000000
license18,U,15.000000
license18,2,14.000000
license18,G,15.000000
license18,R,18.000000
U9U2GR

license19,J,12.000000
license19,9,17.000000
license19,U,15.000000
license19,2,14.000000
license19,U,15.000000
license19,7,12.000000
J9U2U7

license20,B,20.000000
license20,G,15.000000
license20,U,15.000000
license20,2,14.000000
license20,U,15.000000
license20,F,14.000000
license20,L,11.000000
BGU2UFL

license21,J,12.000000
license21,9,17.000000
license21,U,15.000000
license21,2,14.000000
license21,G,15.000000
license21,F,14.000000
license21,B,20.000000
J9U2GFB

license22,J,12.000000
license22,9,17.000000
license22,U,15.000000
license22,2,14.000000
license22,U,15.000000
license22,9,17.000000
license22,2,14.000000
J9U2U92

license23,Y,10.000000
license23,5,17.000000
license23,U,15.000000
license23,2,14.000000
license23,U,15.000000
license23,X,13.000000
license23,F,14.000000
Y5U2UXF

license24,U,15.000000
license24,9,17.000000
license24,U,15.000000
license24,3,15.000000
license24,B,20.000000
U9U3B

license25,1,8.000000
license25,9,17.000000
license25,U,15.000000
license25,2,14.000000
license25,G,15.000000
license25,5,17.000000
license25,X,13.000000
19U2G5X

license26,Y,10.000000
license26,2,14.000000
license26,3,15.000000
license26,9,17.000000
license26,9,17.000000
Y2399

license27,Y,10.000000
license27,9,17.000000
license27,G,15.000000
license27,2,14.000000
license27,U,15.000000
license27,G,15.000000
license27,T,11.000000
Y9G2UGT

license28,Y,10.000000
license28,U,15.000000
license28,U,15.000000
license28,2,14.000000
license28,G,15.000000
license28,F,14.000000
license28,U,15.000000
YUU2GFU

license29,U,15.000000
license29,9,17.000000
license29,G,15.000000
license29,2,14.000000
license29,U,15.000000
license29,G,15.000000
license29,U,15.000000
U9G2UGU

license30,J,12.000000
license30,9,17.000000
license30,U,15.000000
license30,2,14.000000
license30,U,15.000000
license30,R,18.000000
license30,J,12.000000
J9U2URJ

